date,region,transport_type,emissions_mt_co2e,data_source,confidence_level,methodology
2023-01-01,North America,Road Transport,130.52,Climate TRACE,high,Satellite + ground monitoring
2023-01-01,North America,Aviation,85.89,Climate TRACE,low,Satellite + ground monitoring
2023-01-01,North America,Shipping,58.8,Climate TRACE,high,Satellite + ground monitoring
2023-01-01,North America,Rail,9.86,Climate TRACE,high,Satellite + ground monitoring
2023-01-01,Europe,Road Transport,132.66,Climate TRACE,high,Satellite + ground monitoring
2023-01-01,Europe,Aviation,36.35,Climate TRACE,medium,Satellite + ground monitoring
2023-01-01,Europe,Shipping,93.12,Climate TRACE,high,Satellite + ground monitoring
2023-01-01,Europe,Rail,19.32,Climate TRACE,high,Satellite + ground monitoring
2023-01-01,Asia Pacific,Road Transport,236.96,Climate TRACE,medium,Satellite + ground monitoring
2023-01-01,Asia Pacific,Aviation,112.96,Climate TRACE,high,Satellite + ground monitoring
2023-01-01,Asia Pacific,Shipping,165.01,Climate TRACE,high,Satellite + ground monitoring
2023-01-01,Asia Pacific,Rail,43.04,Climate TRACE,high,Satellite + ground monitoring
2023-01-01,Latin America,Road Transport,35.37,Climate TRACE,high,Satellite + ground monitoring
2023-01-01,Latin America,Aviation,17.19,Climate TRACE,high,Satellite + ground monitoring
2023-01-01,Latin America,Shipping,68.03,Climate TRACE,high,Satellite + ground monitoring
2023-01-01,Latin America,Rail,11.29,Climate TRACE,high,Satellite + ground monitoring
2023-01-01,Africa,Road Transport,51.21,Climate TRACE,medium,Satellite + ground monitoring
2023-01-01,Africa,Aviation,21.83,Climate TRACE,medium,Satellite + ground monitoring
2023-01-01,Africa,Shipping,26.79,Climate TRACE,medium,Satellite + ground monitoring
2023-01-01,Africa,Rail,4.14,Climate TRACE,high,Satellite + ground monitoring
2023-01-01,Middle East,Road Transport,124.59,Climate TRACE,high,Satellite + ground monitoring
2023-01-01,Middle East,Aviation,54.25,Climate TRACE,high,Satellite + ground monitoring
2023-01-01,Middle East,Shipping,88.78,Climate TRACE,medium,Satellite + ground monitoring
2023-01-01,Middle East,Rail,7.72,Climate TRACE,high,Satellite + ground monitoring
2023-02-01,North America,Road Transport,118.83,Climate TRACE,high,Satellite + ground monitoring
2023-02-01,North America,Aviation,53.09,Climate TRACE,high,Satellite + ground monitoring
2023-02-01,North America,Shipping,70.43,Climate TRACE,medium,Satellite + ground monitoring
2023-02-01,North America,Rail,29.46,Climate TRACE,high,Satellite + ground monitoring
2023-02-01,Europe,Road Transport,66.0,Climate TRACE,high,Satellite + ground monitoring
2023-02-01,Europe,Aviation,38.86,Climate TRACE,high,Satellite + ground monitoring
2023-02-01,Europe,Shipping,126.4,Climate TRACE,medium,Satellite + ground monitoring
2023-02-01,Europe,Rail,10.6,Climate TRACE,medium,Satellite + ground monitoring
2023-02-01,Asia Pacific,Road Transport,340.39,Climate TRACE,medium,Satellite + ground monitoring
2023-02-01,Asia Pacific,Aviation,109.59,Climate TRACE,medium,Satellite + ground monitoring
2023-02-01,Asia Pacific,Shipping,62.05,Climate TRACE,high,Satellite + ground monitoring
2023-02-01,Asia Pacific,Rail,17.4,Climate TRACE,high,Satellite + ground monitoring
2023-02-01,Latin America,Road Transport,71.75,Climate TRACE,high,Satellite + ground monitoring
2023-02-01,Latin America,Aviation,32.41,Climate TRACE,high,Satellite + ground monitoring
2023-02-01,Latin America,Shipping,72.57,Climate TRACE,high,Satellite + ground monitoring
2023-02-01,Latin America,Rail,3.97,Climate TRACE,high,Satellite + ground monitoring
2023-02-01,Africa,Road Transport,80.98,Climate TRACE,low,Satellite + ground monitoring
2023-02-01,Africa,Aviation,35.1,Climate TRACE,high,Satellite + ground monitoring
2023-02-01,Africa,Shipping,23.09,Climate TRACE,medium,Satellite + ground monitoring
2023-02-01,Africa,Rail,10.8,Climate TRACE,high,Satellite + ground monitoring
2023-02-01,Middle East,Road Transport,144.95,Climate TRACE,high,Satellite + ground monitoring
2023-02-01,Middle East,Aviation,56.47,Climate TRACE,high,Satellite + ground monitoring
2023-02-01,Middle East,Shipping,82.49,Climate TRACE,high,Satellite + ground monitoring
2023-02-01,Middle East,Rail,4.66,Climate TRACE,high,Satellite + ground monitoring
2023-03-01,North America,Road Transport,142.53,Climate TRACE,high,Satellite + ground monitoring
2023-03-01,North America,Aviation,75.74,Climate TRACE,high,Satellite + ground monitoring
2023-03-01,North America,Shipping,118.39,Climate TRACE,low,Satellite + ground monitoring
2023-03-01,North America,Rail,14.82,Climate TRACE,high,Satellite + ground monitoring
2023-03-01,Europe,Road Transport,63.39,Climate TRACE,high,Satellite + ground monitoring
2023-03-01,Europe,Aviation,43.36,Climate TRACE,high,Satellite + ground monitoring
2023-03-01,Europe,Shipping,94.33,Climate TRACE,high,Satellite + ground monitoring
2023-03-01,Europe,Rail,7.99,Climate TRACE,high,Satellite + ground monitoring
2023-03-01,Asia Pacific,Road Transport,320.44,Climate TRACE,high,Satellite + ground monitoring
