route_id,origin_node,destination_node,distance_km,transport_mode,travel_time_hours,cost_per_ton,capacity_tons
R_000000,N_0432,N_0992,3317.33,truck,44.859391114005206,153.44131604101446,83.56116910445105
R_000001,N_0268,N_0363,1967.39,truck,34.37867619843201,101.60655907040157,74.28371165396638
R_000002,N_0629,N_0547,2097.86,truck,38.611294376034294,343.98061014176756,31.0596830911565
R_000003,N_0346,N_0123,5287.16,truck,89.81727273520826,242.89050619183223,31.048096927363865
R_000004,N_0502,N_0056,2870.4,truck,40.129648065411786,371.87695909722964,87.47154008741532
R_000005,N_0721,N_0385,4896.87,maritime,65.85289925676896,53.45185968040494,14.550013858365077
R_000006,N_0671,N_0259,604.0,truck,8.039621739000046,333.07572853482156,30.494308466416808
R_000007,N_0505,N_0085,1823.17,rail,23.704290619292,156.6118035350191,58.56442615119933
R_000009,N_0856,N_0237,2206.66,truck,28.411061772996074,337.12540622717694,86.87950675423095
R_000010,N_0474,N_0748,3007.2,truck,44.37644612288476,449.1438320780861,61.83443506706111
R_000011,N_0084,N_0546,2188.26,truck,32.6652153769607,228.01006161325571,52.895767433630354
R_000012,N_0137,N_0357,1059.97,truck,25.114102723835295,136.63473842192076,51.094343763555884
R_000013,N_0531,N_0740,4764.62,truck,66.86453072010013,392.97495121792116,81.07572625079499
R_000014,N_0894,N_0880,1460.05,truck,31.381555006343135,200.09912657059147,92.36270790828186
R_000015,N_0394,N_0937,3192.35,truck,73.37818794745233,327.37101176697536,33.11372492250871
R_000016,N_0334,N_0358,4102.52,air,65.21805939745629,465.72549639051385,45.37349073953879
R_000017,N_0041,N_0179,2223.59,air,35.006364876081946,326.7044046621969,74.4677183873102
R_000018,N_0119,N_0074,2391.2,truck,44.71665952752016,228.9581267362717,91.873869885026
R_000019,N_0889,N_0788,2976.66,truck,66.49618512603864,470.68780741356306,36.61947112443334
R_000020,N_0179,N_0790,2625.53,truck,51.45702590193859,362.0868922516947,48.34325464656055
R_000021,N_0394,N_0627,1336.39,air,29.97231077740968,82.05832185916955,86.67376742115047
R_000022,N_0792,N_0880,3568.98,truck,67.37814931232508,189.62502609904712,68.30279182197201
R_000023,N_0702,N_0302,1158.3,truck,25.538531776540324,418.8823434168114,44.259670387896875
