scenario_id,network_size,carbon_weight,cost_weight,replicate,population_size,generations,mutation_rate,crossover_rate,random_seed,expected_runtime_minutes,created_date
S_001,50,0.0,1.0,1,25,100,0.1,0.8,43,5.0,2025-08-27 16:52:04
S_002,50,0.0,1.0,2,25,100,0.1,0.8,44,5.0,2025-08-27 16:52:04
S_003,50,0.0,1.0,3,25,100,0.1,0.8,45,5.0,2025-08-27 16:52:04
S_004,50,0.0,1.0,4,25,100,0.1,0.8,46,5.0,2025-08-27 16:52:04
S_005,50,0.0,1.0,5,25,100,0.1,0.8,47,5.0,2025-08-27 16:52:04
S_006,50,0.25,0.75,1,25,100,0.1,0.8,48,5.0,2025-08-27 16:52:04
S_007,50,0.25,0.75,2,25,100,0.1,0.8,49,5.0,2025-08-27 16:52:04
S_008,50,0.25,0.75,3,25,100,0.1,0.8,50,5.0,2025-08-27 16:52:04
S_009,50,0.25,0.75,4,25,100,0.1,0.8,51,5.0,2025-08-27 16:52:04
S_010,50,0.25,0.75,5,25,100,0.1,0.8,52,5.0,2025-08-27 16:52:04
S_011,50,0.5,0.5,1,25,100,0.1,0.8,53,5.0,2025-08-27 16:52:04
S_012,50,0.5,0.5,2,25,100,0.1,0.8,54,5.0,2025-08-27 16:52:04
S_013,50,0.5,0.5,3,25,100,0.1,0.8,55,5.0,2025-08-27 16:52:04
S_014,50,0.5,0.5,4,25,100,0.1,0.8,56,5.0,2025-08-27 16:52:04
S_015,50,0.5,0.5,5,25,100,0.1,0.8,57,5.0,2025-08-27 16:52:04
S_016,50,0.75,0.25,1,25,100,0.1,0.8,58,5.0,2025-08-27 16:52:04
S_017,50,0.75,0.25,2,25,100,0.1,0.8,59,5.0,2025-08-27 16:52:04
S_018,50,0.75,0.25,3,25,100,0.1,0.8,60,5.0,2025-08-27 16:52:04
S_019,50,0.75,0.25,4,25,100,0.1,0.8,61,5.0,2025-08-27 16:52:04
S_020,50,0.75,0.25,5,25,100,0.1,0.8,62,5.0,2025-08-27 16:52:04
S_021,50,1.0,0.0,1,25,100,0.1,0.8,63,5.0,2025-08-27 16:52:04
S_022,50,1.0,0.0,2,25,100,0.1,0.8,64,5.0,2025-08-27 16:52:04
S_023,50,1.0,0.0,3,25,100,0.1,0.8,65,5.0,2025-08-27 16:52:04
S_024,50,1.0,0.0,4,25,100,0.1,0.8,66,5.0,2025-08-27 16:52:04
S_025,50,1.0,0.0,5,25,100,0.1,0.8,67,5.0,2025-08-27 16:52:04
S_026,100,0.0,1.0,1,50,200,0.1,0.8,68,10.0,2025-08-27 16:52:04
S_027,100,0.0,1.0,2,50,200,0.1,0.8,69,10.0,2025-08-27 16:52:04
S_028,100,0.0,1.0,3,50,200,0.1,0.8,70,10.0,2025-08-27 16:52:04
S_029,100,0.0,1.0,4,50,200,0.1,0.8,71,10.0,2025-08-27 16:52:04
S_030,100,0.0,1.0,5,50,200,0.1,0.8,72,10.0,2025-08-27 16:52:04
S_031,100,0.25,0.75,1,50,200,0.1,0.8,73,10.0,2025-08-27 16:52:04
S_032,100,0.25,0.75,2,50,200,0.1,0.8,74,10.0,2025-08-27 16:52:04
S_033,100,0.25,0.75,3,50,200,0.1,0.8,75,10.0,2025-08-27 16:52:04
S_034,100,0.25,0.75,4,50,200,0.1,0.8,76,10.0,2025-08-27 16:52:04
S_035,100,0.25,0.75,5,50,200,0.1,0.8,77,10.0,2025-08-27 16:52:04
S_036,100,0.5,0.5,1,50,200,0.1,0.8,78,10.0,2025-08-27 16:52:04
S_037,100,0.5,0.5,2,50,200,0.1,0.8,79,10.0,2025-08-27 16:52:04
S_038,100,0.5,0.5,3,50,200,0.1,0.8,80,10.0,2025-08-27 16:52:04
S_039,100,0.5,0.5,4,50,200,0.1,0.8,81,10.0,2025-08-27 16:52:04
S_040,100,0.5,0.5,5,50,200,0.1,0.8,82,10.0,2025-08-27 16:52:04
S_041,100,0.75,0.25,1,50,200,0.1,0.8,83,10.0,2025-08-27 16:52:04
S_042,100,0.75,0.25,2,50,200,0.1,0.8,84,10.0,2025-08-27 16:52:04
S_043,100,0.75,0.25,3,50,200,0.1,0.8,85,10.0,2025-08-27 16:52:04
S_044,100,0.75,0.25,4,50,200,0.1,0.8,86,10.0,2025-08-27 16:52:04
S_045,100,0.75,0.25,5,50,200,0.1,0.8,87,10.0,2025-08-27 16:52:04
S_046,100,1.0,0.0,1,50,200,0.1,0.8,88,10.0,2025-08-27 16:52:04
S_047,100,1.0,0.0,2,50,200,0.1,0.8,89,10.0,2025-08-27 16:52:04
S_048,100,1.0,0.0,3,50,200,0.1,0.8,90,10.0,2025-08-27 16:52:04
S_049,100,1.0,0.0,4,50,200,0.1,0.8,91,10.0,2025-08-27 16:52:04
S_050,100,1.0,0.0,5,50,200,0.1,0.8,92,10.0,2025-08-27 16:52:04
S_051,500,0.0,1.0,1,100,500,0.1,0.8,93,50.0,2025-08-27 16:52:04
S_052,500,0.0,1.0,2,100,500,0.1,0.8,94,50.0,2025-08-27 16:52:04
S_053,500,0.0,1.0,3,100,500,0.1,0.8,95,50.0,2025-08-27 16:52:04
S_054,500,0.0,1.0,4,100,500,0.1,0.8,96,50.0,2025-08-27 16:52:04
S_055,500,0.0,1.0,5,100,500,0.1,0.8,97,50.0,2025-08-27 16:52:04
S_056,500,0.25,0.75,1,100,500,0.1,0.8,98,50.0,2025-08-27 16:52:04
S_057,500,0.25,0.75,2,100,500,0.1,0.8,99,50.0,2025-08-27 16:52:04
S_058,500,0.25,0.75,3,100,500,0.1,0.8,100,50.0,2025-08-27 16:52:04
S_059,500,0.25,0.75,4,100,500,0.1,0.8,101,50.0,2025-08-27 16:52:04
S_060,500,0.25,0.75,5,100,500,0.1,0.8,102,50.0,2025-08-27 16:52:04
S_061,500,0.5,0.5,1,100,500,0.1,0.8,103,50.0,2025-08-27 16:52:04
S_062,500,0.5,0.5,2,100,500,0.1,0.8,104,50.0,2025-08-27 16:52:04
S_063,500,0.5,0.5,3,100,500,0.1,0.8,105,50.0,2025-08-27 16:52:04
S_064,500,0.5,0.5,4,100,500,0.1,0.8,106,50.0,2025-08-27 16:52:04
S_065,500,0.5,0.5,5,100,500,0.1,0.8,107,50.0,2025-08-27 16:52:04
S_066,500,0.75,0.25,1,100,500,0.1,0.8,108,50.0,2025-08-27 16:52:04
S_067,500,0.75,0.25,2,100,500,0.1,0.8,109,50.0,2025-08-27 16:52:04
S_068,500,0.75,0.25,3,100,500,0.1,0.8,110,50.0,2025-08-27 16:52:04
S_069,500,0.75,0.25,4,100,500,0.1,0.8,111,50.0,2025-08-27 16:52:04
S_070,500,0.75,0.25,5,100,500,0.1,0.8,112,50.0,2025-08-27 16:52:04
S_071,500,1.0,0.0,1,100,500,0.1,0.8,113,50.0,2025-08-27 16:52:04
S_072,500,1.0,0.0,2,100,500,0.1,0.8,114,50.0,2025-08-27 16:52:04
