network,reduction_pct,optimal_cost_eur,actual_emissions_kg,baseline_cost_eur,baseline_emissions_kg,n_mode_shifts,status,mac_eur_kg,mac_eur_t,step_size
Salamanca,0.0,4653.73,3223.8,4653.73,3223.8,0,Optimal,,,2.5%
Salamanca,2.5,4772.73,2737.2,4653.73,3223.8,1,Optimal,0.2445540484997943,244.6,2.5%
Salamanca,5.0,4772.73,2737.2,4653.73,3223.8,1,Optimal,,,2.5%
Salamanca,7.5,4772.73,2737.2,4653.73,3223.8,1,Optimal,,,2.5%
Salamanca,10.0,4772.73,2737.2,4653.73,3223.8,1,Optimal,,,2.5%
Salamanca,12.5,4772.73,2737.2,4653.73,3223.8,1,Optimal,,,2.5%
Salamanca,15.0,4772.73,2737.2,4653.73,3223.8,1,Optimal,,,2.5%
Salamanca,17.5,5058.71,2395.5,4653.73,3223.8,2,Optimal,0.836932982148085,836.9,2.5%
Salamanca,20.0,5058.71,2395.5,4653.73,3223.8,2,Optimal,,,2.5%
Salamanca,22.5,5058.71,2395.5,4653.73,3223.8,2,Optimal,,,2.5%
Salamanca,25.0,5058.71,2395.5,4653.73,3223.8,2,Optimal,,,2.5%
Salamanca,27.5,5449.96,2145.1,4653.73,3223.8,3,Optimal,1.5624999999999993,1562.5,2.5%
Salamanca,30.0,5449.96,2145.1,4653.73,3223.8,3,Optimal,,,2.5%
Salamanca,32.5,5449.96,2145.1,4653.73,3223.8,3,Optimal,,,2.5%
Salamanca,35.0,5873.44,1922.6,4653.73,3223.8,4,Optimal,1.9032808988764025,1903.3,2.5%
Salamanca,37.5,5873.44,1922.6,4653.73,3223.8,4,Optimal,,,2.5%
Salamanca,40.0,5873.44,1922.6,4653.73,3223.8,4,Optimal,,,2.5%
Salamanca,42.5,6319.14,1719.4,4653.73,3223.8,5,Optimal,2.1934055118110294,2193.4,2.5%
Salamanca,45.0,6319.14,1719.4,4653.73,3223.8,5,Optimal,,,2.5%
Salamanca,47.5,6857.07,1596.2,4653.73,3223.8,6,Optimal,4.366314935064929,4366.3,2.5%
Salamanca,50.0,6857.07,1596.2,4653.73,3223.8,6,Optimal,,,2.5%
Salamanca,0.0,4653.73,3223.8,4653.73,3223.8,0,Optimal,,,5%
Salamanca,5.0,4772.73,2737.2,4653.73,3223.8,1,Optimal,0.2445540484997943,244.6,5%
Salamanca,10.0,4772.73,2737.2,4653.73,3223.8,1,Optimal,,,5%
Salamanca,15.0,4772.73,2737.2,4653.73,3223.8,1,Optimal,,,5%
Salamanca,20.0,5058.71,2395.5,4653.73,3223.8,2,Optimal,0.836932982148085,836.9,5%
Salamanca,25.0,5058.71,2395.5,4653.73,3223.8,2,Optimal,,,5%
Salamanca,30.0,5449.96,2145.1,4653.73,3223.8,3,Optimal,1.5624999999999993,1562.5,5%
Salamanca,35.0,5873.44,1922.6,4653.73,3223.8,4,Optimal,1.9032808988764025,1903.3,5%
Salamanca,40.0,5873.44,1922.6,4653.73,3223.8,4,Optimal,,,5%
Salamanca,45.0,6319.14,1719.4,4653.73,3223.8,5,Optimal,2.1934055118110294,2193.4,5%
Salamanca,50.0,6857.07,1596.2,4653.73,3223.8,6,Optimal,4.366314935064929,4366.3,5%
Salamanca,0.0,4653.73,3223.8,4653.73,3223.8,0,Optimal,,,10%
Salamanca,10.0,4772.73,2737.2,4653.73,3223.8,1,Optimal,0.2445540484997943,244.6,10%
Salamanca,20.0,5058.71,2395.5,4653.73,3223.8,2,Optimal,0.836932982148085,836.9,10%
Salamanca,30.0,5449.96,2145.1,4653.73,3223.8,3,Optimal,1.5624999999999993,1562.5,10%
Salamanca,40.0,5873.44,1922.6,4653.73,3223.8,4,Optimal,1.9032808988764025,1903.3,10%
Salamanca,50.0,6857.07,1596.2,4653.73,3223.8,6,Optimal,3.01357230392157,3013.6,10%
Iberian,0.0,14514.65,5202.5,32781.65,22708.7,5,Optimal,,,2.5%
Iberian,2.5,14514.65,5202.5,32781.65,22708.7,5,Optimal,,,2.5%
Iberian,5.0,14514.65,5202.5,32781.65,22708.7,5,Optimal,,,2.5%
Iberian,7.5,14514.65,5202.5,32781.65,22708.7,5,Optimal,,,2.5%
Iberian,10.0,14514.65,5202.5,32781.65,22708.7,5,Optimal,,,2.5%
Iberian,12.5,14514.65,5202.5,32781.65,22708.7,5,Optimal,,,2.5%
Iberian,15.0,14514.65,5202.5,32781.65,22708.7,5,Optimal,,,2.5%
Iberian,17.5,14514.65,5202.5,32781.65,22708.7,5,Optimal,,,2.5%
Iberian,20.0,14514.65,5202.5,32781.65,22708.7,5,Optimal,,,2.5%
Iberian,22.5,14514.65,5202.5,32781.65,22708.7,5,Optimal,,,2.5%
Iberian,25.0,14514.65,5202.5,32781.65,22708.7,5,Optimal,,,2.5%
Iberian,27.5,14514.65,5202.5,32781.65,22708.7,5,Optimal,,,2.5%
Iberian,30.0,14514.65,5202.5,32781.65,22708.7,5,Optimal,,,2.5%
Iberian,32.5,14514.65,5202.5,32781.65,22708.7,5,Optimal,,,2.5%
Iberian,35.0,14514.65,5202.5,32781.65,22708.7,5,Optimal,,,2.5%
Iberian,37.5,14514.65,5202.5,32781.65,22708.7,5,Optimal,,,2.5%
Iberian,40.0,14514.65,5202.5,32781.65,22708.7,5,Optimal,,,2.5%
Iberian,42.5,14514.65,5202.5,32781.65,22708.7,5,Optimal,,,2.5%
Iberian,45.0,14514.65,5202.5,32781.65,22708.7,5,Optimal,,,2.5%
Iberian,47.5,14514.65,5202.5,32781.65,22708.7,5,Optimal,,,2.5%
Iberian,50.0,14514.65,5202.5,32781.65,22708.7,5,Optimal,,,2.5%
Iberian,0.0,14514.65,5202.5,32781.65,22708.7,5,Optimal,,,5%
Iberian,5.0,14514.65,5202.5,32781.65,22708.7,5,Optimal,,,5%
Iberian,10.0,14514.65,5202.5,32781.65,22708.7,5,Optimal,,,5%
Iberian,15.0,14514.65,5202.5,32781.65,22708.7,5,Optimal,,,5%
Iberian,20.0,14514.65,5202.5,32781.65,22708.7,5,Optimal,,,5%
Iberian,25.0,14514.65,5202.5,32781.65,22708.7,5,Optimal,,,5%
Iberian,30.0,14514.65,5202.5,32781.65,22708.7,5,Optimal,,,5%
Iberian,35.0,14514.65,5202.5,32781.65,22708.7,5,Optimal,,,5%
Iberian,40.0,14514.65,5202.5,32781.65,22708.7,5,Optimal,,,5%
Iberian,45.0,14514.65,5202.5,32781.65,22708.7,5,Optimal,,,5%
Iberian,50.0,14514.65,5202.5,32781.65,22708.7,5,Optimal,,,5%
Iberian,0.0,14514.65,5202.5,32781.65,22708.7,5,Optimal,,,10%
Iberian,10.0,14514.65,5202.5,32781.65,22708.7,5,Optimal,,,10%
Iberian,20.0,14514.65,5202.5,32781.65,22708.7,5,Optimal,,,10%
Iberian,30.0,14514.65,5202.5,32781.65,22708.7,5,Optimal,,,10%
Iberian,40.0,14514.65,5202.5,32781.65,22708.7,5,Optimal,,,10%
Iberian,50.0,14514.65,5202.5,32781.65,22708.7,5,Optimal,,,10%
Frankfurt,0.0,15962.9,11286.7,19391.9,13433.3,4,Optimal,,,2.5%
Frankfurt,2.5,15962.9,11286.7,19391.9,13433.3,4,Optimal,,,2.5%
Frankfurt,5.0,15962.9,11286.7,19391.9,13433.3,4,Optimal,,,2.5%
Frankfurt,7.5,15962.9,11286.7,19391.9,13433.3,4,Optimal,,,2.5%
Frankfurt,10.0,15962.9,11286.7,19391.9,13433.3,4,Optimal,,,2.5%
Frankfurt,12.5,15962.9,11286.7,19391.9,13433.3,4,Optimal,,,2.5%
Frankfurt,15.0,15962.9,11286.7,19391.9,13433.3,4,Optimal,,,2.5%
Frankfurt,17.5,16222.9,10902.7,19391.9,13433.3,6,Optimal,0.6770833333333334,677.1,2.5%
Frankfurt,20.0,16417.8,10733.4,19391.9,13433.3,7,Optimal,1.1512108682811482,1151.2,2.5%
Frankfurt,22.5,17294.83,10327.4,19391.9,13433.3,10,Optimal,2.1601724137931098,2160.2,2.5%
Frankfurt,25.0,19215.95,10048.5,19391.9,13433.3,14,Optimal,6.8882036572248175,6888.2,2.5%
Frankfurt,27.5,inf,inf,19391.9,13433.3,0,Infeasible,,,2.5%
Frankfurt,30.0,inf,inf,19391.9,13433.3,0,Infeasible,,,2.5%
Frankfurt,32.5,inf,inf,19391.9,13433.3,0,Infeasible,,,2.5%
Frankfurt,35.0,inf,inf,19391.9,13433.3,0,Infeasible,,,2.5%
Frankfurt,37.5,inf,inf,19391.9,13433.3,0,Infeasible,,,2.5%
Frankfurt,40.0,inf,inf,19391.9,13433.3,0,Infeasible,,,2.5%
