n_routes,budget_pct,reduction_pct,variant,time_s,hv,igd,speedup,shadow_price
12,0.9,10.0,MOEA/D,13.16,615964650315.6444,0.224103,0.43,0.065
12,0.9,10.0,NSGA3-Random,5.68,213092605336.4116,0.193007,1.0,0.065
12,0.9,10.0,NSGA3-CAPS,5.37,587115187902.2422,0.115972,1.06,0.065
12,0.9,10.0,NSGA3-SPRD,5.37,349830898952.1838,0.122758,1.06,0.065
12,0.9,10.0,NSGA3-DCCT,5.06,1311899055716.0413,0.074119,1.12,0.065
12,0.8,20.0,MOEA/D,13.32,977753150921.0658,0.258177,0.42,0.065
12,0.8,20.0,NSGA3-Random,5.54,357268046342.1318,0.1474,1.0,0.065
12,0.8,20.0,NSGA3-CAPS,5.31,1380536729774.5024,0.085878,1.04,0.065
12,0.8,20.0,NSGA3-SPRD,4.67,767518021691.3202,0.09489,1.19,0.065
12,0.8,20.0,NSGA3-DCCT,4.45,974415972556.0101,0.094006,1.24,0.065
12,0.7,30.0,MOEA/D,12.01,833899367214.1318,0.195554,0.46,0.065
12,0.7,30.0,NSGA3-Random,5.54,1225101795347.5864,0.08969,1.0,0.065
12,0.7,30.0,NSGA3-CAPS,5.43,902705200159.3722,0.099327,1.02,0.065
12,0.7,30.0,NSGA3-SPRD,5.33,1397126854502.376,0.102963,1.04,0.065
12,0.7,30.0,NSGA3-DCCT,5.16,1650659575543.4932,0.077178,1.07,0.065
12,0.6,40.0,MOEA/D,10.48,1135203262526.432,0.422096,0.5,0.065
12,0.6,40.0,NSGA3-Random,5.25,957823350173.1691,0.081416,1.0,0.065
12,0.6,40.0,NSGA3-CAPS,5.48,857002801810.7158,0.091599,0.96,0.065
12,0.6,40.0,NSGA3-SPRD,5.64,696645570793.2473,0.098198,0.93,0.065
12,0.6,40.0,NSGA3-DCCT,4.95,663798294186.0084,0.120564,1.06,0.065
