network,reduction_pct,carbon_price_eur_t,mac_eur_t,regime
Salamanca,0,25,,allowance_preferred
Salamanca,0,50,,allowance_preferred
Salamanca,0,65,,allowance_preferred
Salamanca,0,75,,allowance_preferred
Salamanca,0,100,,allowance_preferred
Salamanca,0,150,,allowance_preferred
Salamanca,5,25,244.55,allowance_preferred
Salamanca,5,50,244.55,allowance_preferred
Salamanca,5,65,244.55,allowance_preferred
Salamanca,5,75,244.55,allowance_preferred
Salamanca,5,100,244.55,allowance_preferred
Salamanca,5,150,244.55,allowance_preferred
Salamanca,10,25,,allowance_preferred
Salamanca,10,50,,allowance_preferred
Salamanca,10,65,,allowance_preferred
Salamanca,10,75,,allowance_preferred
Salamanca,10,100,,allowance_preferred
Salamanca,10,150,,allowance_preferred
Salamanca,15,25,,allowance_preferred
Salamanca,15,50,,allowance_preferred
Salamanca,15,65,,allowance_preferred
Salamanca,15,75,,allowance_preferred
Salamanca,15,100,,allowance_preferred
Salamanca,15,150,,allowance_preferred
Salamanca,20,25,836.93,allowance_preferred
Salamanca,20,50,836.93,allowance_preferred
Salamanca,20,65,836.93,allowance_preferred
Salamanca,20,75,836.93,allowance_preferred
Salamanca,20,100,836.93,allowance_preferred
Salamanca,20,150,836.93,allowance_preferred
Salamanca,25,25,,allowance_preferred
Salamanca,25,50,,allowance_preferred
Salamanca,25,65,,allowance_preferred
Salamanca,25,75,,allowance_preferred
Salamanca,25,100,,allowance_preferred
Salamanca,25,150,,allowance_preferred
Salamanca,30,25,1562.5,allowance_preferred
Salamanca,30,50,1562.5,allowance_preferred
Salamanca,30,65,1562.5,allowance_preferred
Salamanca,30,75,1562.5,allowance_preferred
Salamanca,30,100,1562.5,allowance_preferred
Salamanca,30,150,1562.5,allowance_preferred
Salamanca,35,25,1903.28,allowance_preferred
Salamanca,35,50,1903.28,allowance_preferred
Salamanca,35,65,1903.28,allowance_preferred
Salamanca,35,75,1903.28,allowance_preferred
Salamanca,35,100,1903.28,allowance_preferred
Salamanca,35,150,1903.28,allowance_preferred
Salamanca,40,25,,allowance_preferred
Salamanca,40,50,,allowance_preferred
Salamanca,40,65,,allowance_preferred
Salamanca,40,75,,allowance_preferred
Salamanca,40,100,,allowance_preferred
Salamanca,40,150,,allowance_preferred
Salamanca,45,25,2193.41,allowance_preferred
Salamanca,45,50,2193.41,allowance_preferred
Salamanca,45,65,2193.41,allowance_preferred
Salamanca,45,75,2193.41,allowance_preferred
Salamanca,45,100,2193.41,allowance_preferred
Salamanca,45,150,2193.41,allowance_preferred
Salamanca,50,25,4366.31,allowance_preferred
Salamanca,50,50,4366.31,allowance_preferred
Salamanca,50,65,4366.31,allowance_preferred
Salamanca,50,75,4366.31,allowance_preferred
Salamanca,50,100,4366.31,allowance_preferred
Salamanca,50,150,4366.31,allowance_preferred
Iberian,0,25,,non-binding
Iberian,0,50,,non-binding
Iberian,0,65,,non-binding
Iberian,0,75,,non-binding
Iberian,0,100,,non-binding
Iberian,0,150,,non-binding
Iberian,5,25,,non-binding
Iberian,5,50,,non-binding
Iberian,5,65,,non-binding
Iberian,5,75,,non-binding
Iberian,5,100,,non-binding
Iberian,5,150,,non-binding
Iberian,10,25,,non-binding
Iberian,10,50,,non-binding
Iberian,10,65,,non-binding
Iberian,10,75,,non-binding
Iberian,10,100,,non-binding
Iberian,10,150,,non-binding
Iberian,15,25,,non-binding
Iberian,15,50,,non-binding
Iberian,15,65,,non-binding
Iberian,15,75,,non-binding
Iberian,15,100,,non-binding
Iberian,15,150,,non-binding
Iberian,20,25,,non-binding
Iberian,20,50,,non-binding
Iberian,20,65,,non-binding
Iberian,20,75,,non-binding
Iberian,20,100,,non-binding
Iberian,20,150,,non-binding
Iberian,25,25,,non-binding
Iberian,25,50,,non-binding
Iberian,25,65,,non-binding
Iberian,25,75,,non-binding
Iberian,25,100,,non-binding
Iberian,25,150,,non-binding
Iberian,30,25,,non-binding
Iberian,30,50,,non-binding
Iberian,30,65,,non-binding
Iberian,30,75,,non-binding
Iberian,30,100,,non-binding
Iberian,30,150,,non-binding
Iberian,35,25,,non-binding
Iberian,35,50,,non-binding
Iberian,35,65,,non-binding
Iberian,35,75,,non-binding
Iberian,35,100,,non-binding
Iberian,35,150,,non-binding
Iberian,40,25,,non-binding
Iberian,40,50,,non-binding
Iberian,40,65,,non-binding
Iberian,40,75,,non-binding
Iberian,40,100,,non-binding
Iberian,40,150,,non-binding
Iberian,45,25,,non-binding
Iberian,45,50,,non-binding
Iberian,45,65,,non-binding
Iberian,45,75,,non-binding
Iberian,45,100,,non-binding
Iberian,45,150,,non-binding
Iberian,50,25,,non-binding
Iberian,50,50,,non-binding
Iberian,50,65,,non-binding
Iberian,50,75,,non-binding
Iberian,50,100,,non-binding
Iberian,50,150,,non-binding
Frankfurt,0,25,,allowance_preferred
Frankfurt,0,50,,allowance_preferred
Frankfurt,0,65,,allowance_preferred
Frankfurt,0,75,,allowance_preferred
Frankfurt,0,100,,allowance_preferred
Frankfurt,0,150,,allowance_preferred
Frankfurt,5,25,,allowance_preferred
Frankfurt,5,50,,allowance_preferred
Frankfurt,5,65,,allowance_preferred
Frankfurt,5,75,,allowance_preferred
Frankfurt,5,100,,allowance_preferred
Frankfurt,5,150,,allowance_preferred
Frankfurt,10,25,,allowance_preferred
Frankfurt,10,50,,allowance_preferred
Frankfurt,10,65,,allowance_preferred
Frankfurt,10,75,,allowance_preferred
Frankfurt,10,100,,allowance_preferred
Frankfurt,10,150,,allowance_preferred
Frankfurt,15,25,,allowance_preferred
Frankfurt,15,50,,allowance_preferred
Frankfurt,15,65,,allowance_preferred
Frankfurt,15,75,,allowance_preferred
Frankfurt,15,100,,allowance_preferred
Frankfurt,15,150,,allowance_preferred
Frankfurt,20,25,822.16,allowance_preferred
Frankfurt,20,50,822.16,allowance_preferred
Frankfurt,20,65,822.16,allowance_preferred
Frankfurt,20,75,822.16,allowance_preferred
Frankfurt,20,100,822.16,allowance_preferred
Frankfurt,20,150,822.16,allowance_preferred
Frankfurt,25,25,4085.49,allowance_preferred
Frankfurt,25,50,4085.49,allowance_preferred
Frankfurt,25,65,4085.49,allowance_preferred
Frankfurt,25,75,4085.49,allowance_preferred
Frankfurt,25,100,4085.49,allowance_preferred
Frankfurt,25,150,4085.49,allowance_preferred
Frankfurt,30,25,,infeasible
Frankfurt,30,50,,infeasible
Frankfurt,30,65,,infeasible
Frankfurt,30,75,,infeasible
Frankfurt,30,100,,infeasible
Frankfurt,30,150,,infeasible
Frankfurt,35,25,,infeasible
Frankfurt,35,50,,infeasible
Frankfurt,35,65,,infeasible
Frankfurt,35,75,,infeasible
Frankfurt,35,100,,infeasible
Frankfurt,35,150,,infeasible
Frankfurt,40,25,,infeasible
Frankfurt,40,50,,infeasible
Frankfurt,40,65,,infeasible
Frankfurt,40,75,,infeasible
Frankfurt,40,100,,infeasible
Frankfurt,40,150,,infeasible
Frankfurt,45,25,,infeasible
Frankfurt,45,50,,infeasible
Frankfurt,45,65,,infeasible
Frankfurt,45,75,,infeasible
Frankfurt,45,100,,infeasible
Frankfurt,45,150,,infeasible
Frankfurt,50,25,,infeasible
Frankfurt,50,50,,infeasible
Frankfurt,50,65,,infeasible
Frankfurt,50,75,,infeasible
Frankfurt,50,100,,infeasible
Frankfurt,50,150,,infeasible
