network_id,n_routes,baseline_cost_eur,baseline_em_kg,uncon_cost_eur,uncon_em_kg,uncon_shifts,cobenefit_pct_uncon,is_cobenefit,max_feasible_pct,mac_at_ref_eur_t,regime_at_ref,median_mac_eur_t,family,seed
RAI-000,16,6432.0,4845.0,6432.0,4845.0,0,0.0,False,50,,non-binding,1936.0,rail_limited_domestic,693812024
RAI-001,14,4113.0,2921.0,4113.0,2921.0,0,0.0,False,35,2858.0,allowance_preferred,2858.0,rail_limited_domestic,693812121
RAI-002,11,7066.0,4437.0,6936.0,3803.0,1,14.3,True,50,,non-binding,4597.0,rail_limited_domestic,693812218
RAI-003,15,3811.0,2949.0,3811.0,2949.0,0,0.0,False,50,,non-binding,4346.0,rail_limited_domestic,693812315
RAI-004,13,6563.0,4490.0,6355.0,3815.0,1,15.0,True,50,259.0,allowance_preferred,1601.0,rail_limited_domestic,693812412
RAI-005,11,2720.0,1647.0,2720.0,1647.0,0,0.0,False,40,4528.0,allowance_preferred,4945.0,rail_limited_domestic,693812509
RAI-006,12,3570.0,2894.0,3570.0,2894.0,0,0.0,False,30,,non-binding,4270.0,rail_limited_domestic,693812606
RAI-007,8,3308.0,2416.0,3308.0,2416.0,0,0.0,False,45,,non-binding,1700.0,rail_limited_domestic,693812703
RAI-008,8,2769.0,1734.0,2769.0,1734.0,0,0.0,False,50,1795.0,allowance_preferred,3783.0,rail_limited_domestic,693812800
RAI-009,13,4283.0,2613.0,4229.0,2101.0,1,19.6,True,45,1335.0,allowance_preferred,2344.0,rail_limited_domestic,693812897
RAI-010,8,2144.0,1336.0,2144.0,1336.0,0,0.0,False,30,3617.0,allowance_preferred,3617.0,rail_limited_domestic,693812994
RAI-011,8,2717.0,1730.0,2717.0,1730.0,0,0.0,False,45,,non-binding,1305.0,rail_limited_domestic,693813091
RAI-012,16,6408.0,4888.0,6408.0,4888.0,0,0.0,False,45,,non-binding,3104.0,rail_limited_domestic,693813188
RAI-013,8,2490.0,1533.0,2490.0,1533.0,0,0.0,False,50,737.0,allowance_preferred,924.0,rail_limited_domestic,693813285
RAI-014,16,5026.0,3923.0,4993.0,3227.0,1,17.7,True,50,1999.0,allowance_preferred,3123.0,rail_limited_domestic,693813382
RAI-015,12,4404.0,2977.0,4335.0,2584.0,1,13.2,True,50,1164.0,allowance_preferred,1316.0,rail_limited_domestic,693813479
