network,parameter,value,baseline,pct_change,mac_eur_t,carbon_price_eur_t,regime
Salamanca,rail_terminal_eur,300.0,680.0,-56.0,,25,non-binding
Salamanca,rail_terminal_eur,300.0,680.0,-56.0,,50,non-binding
Salamanca,rail_terminal_eur,300.0,680.0,-56.0,,65,non-binding
Salamanca,rail_terminal_eur,300.0,680.0,-56.0,,75,non-binding
Salamanca,rail_terminal_eur,300.0,680.0,-56.0,,100,non-binding
Salamanca,rail_terminal_eur,300.0,680.0,-56.0,,150,non-binding
Salamanca,rail_terminal_eur,500.0,680.0,-26.0,310.0,25,allowance_preferred
Salamanca,rail_terminal_eur,500.0,680.0,-26.0,310.0,50,allowance_preferred
Salamanca,rail_terminal_eur,500.0,680.0,-26.0,310.0,65,allowance_preferred
Salamanca,rail_terminal_eur,500.0,680.0,-26.0,310.0,75,allowance_preferred
Salamanca,rail_terminal_eur,500.0,680.0,-26.0,310.0,100,allowance_preferred
Salamanca,rail_terminal_eur,500.0,680.0,-26.0,310.0,150,allowance_preferred
Salamanca,rail_terminal_eur,680.0,680.0,0.0,837.0,25,allowance_preferred
Salamanca,rail_terminal_eur,680.0,680.0,0.0,837.0,50,allowance_preferred
Salamanca,rail_terminal_eur,680.0,680.0,0.0,837.0,65,allowance_preferred
Salamanca,rail_terminal_eur,680.0,680.0,0.0,837.0,75,allowance_preferred
Salamanca,rail_terminal_eur,680.0,680.0,0.0,837.0,100,allowance_preferred
Salamanca,rail_terminal_eur,680.0,680.0,0.0,837.0,150,allowance_preferred
Salamanca,rail_terminal_eur,900.0,680.0,32.0,1481.0,25,allowance_preferred
Salamanca,rail_terminal_eur,900.0,680.0,32.0,1481.0,50,allowance_preferred
Salamanca,rail_terminal_eur,900.0,680.0,32.0,1481.0,65,allowance_preferred
Salamanca,rail_terminal_eur,900.0,680.0,32.0,1481.0,75,allowance_preferred
Salamanca,rail_terminal_eur,900.0,680.0,32.0,1481.0,100,allowance_preferred
Salamanca,rail_terminal_eur,900.0,680.0,32.0,1481.0,150,allowance_preferred
Salamanca,rail_terminal_eur,1200.0,680.0,76.0,2359.0,25,allowance_preferred
Salamanca,rail_terminal_eur,1200.0,680.0,76.0,2359.0,50,allowance_preferred
Salamanca,rail_terminal_eur,1200.0,680.0,76.0,2359.0,65,allowance_preferred
Salamanca,rail_terminal_eur,1200.0,680.0,76.0,2359.0,75,allowance_preferred
Salamanca,rail_terminal_eur,1200.0,680.0,76.0,2359.0,100,allowance_preferred
