network,reduction_pct,carbon_budget_kg,optimal_cost_eur,actual_emissions_kg,baseline_cost_eur,baseline_emissions_kg,cost_change_pct,emission_change_pct,lp_shadow_price_eur_kg,n_mode_shifts,status,finite_diff_mac_eur_kg,finite_diff_mac_eur_t,lp_shadow_price_eur_t
Salamanca,0,3223.8,4653.73,3223.8,4653.73,3223.8,0.0,0.0,0.0,0,Optimal,,,0.0
Salamanca,5,3062.6,4772.73,2737.2,4653.73,3223.8,2.56,-15.09,0.0,1,Optimal,0.2445540484997943,244.55,0.0
Salamanca,10,2901.4,4772.73,2737.2,4653.73,3223.8,2.56,-15.09,0.0,1,Optimal,,,0.0
Salamanca,15,2740.2,4772.73,2737.2,4653.73,3223.8,2.56,-15.09,0.0,1,Optimal,,,0.0
Salamanca,20,2579.0,5058.71,2395.5,4653.73,3223.8,8.7,-25.69,0.0,2,Optimal,0.836932982148085,836.93,0.0
Salamanca,25,2417.8,5058.71,2395.5,4653.73,3223.8,8.7,-25.69,0.0,2,Optimal,,,0.0
Salamanca,30,2256.6,5449.96,2145.1,4653.73,3223.8,17.11,-33.46,0.0,3,Optimal,1.5624999999999993,1562.5,0.0
Salamanca,35,2095.4,5873.44,1922.6,4653.73,3223.8,26.21,-40.36,0.0,4,Optimal,1.9032808988764025,1903.28,0.0
Salamanca,40,1934.3,5873.44,1922.6,4653.73,3223.8,26.21,-40.36,0.0,4,Optimal,,,0.0
Salamanca,45,1773.1,6319.14,1719.4,4653.73,3223.8,35.79,-46.66,0.0,5,Optimal,2.1934055118110294,2193.41,0.0
Salamanca,50,1611.9,6857.07,1596.2,4653.73,3223.8,47.35,-50.49,0.0,6,Optimal,4.366314935064929,4366.31,0.0
Iberian,0,22708.7,14514.65,5202.5,32781.65,22708.7,-55.72,-77.09,0.0,5,Optimal,,,0.0
Iberian,5,21573.3,14514.65,5202.5,32781.65,22708.7,-55.72,-77.09,0.0,5,Optimal,,,0.0
Iberian,10,20437.9,14514.65,5202.5,32781.65,22708.7,-55.72,-77.09,0.0,5,Optimal,,,0.0
Iberian,15,19302.4,14514.65,5202.5,32781.65,22708.7,-55.72,-77.09,0.0,5,Optimal,,,0.0
Iberian,20,18167.0,14514.65,5202.5,32781.65,22708.7,-55.72,-77.09,0.0,5,Optimal,,,0.0
Iberian,25,17031.6,14514.65,5202.5,32781.65,22708.7,-55.72,-77.09,0.0,5,Optimal,,,0.0
Iberian,30,15896.1,14514.65,5202.5,32781.65,22708.7,-55.72,-77.09,0.0,5,Optimal,,,0.0
Iberian,35,14760.7,14514.65,5202.5,32781.65,22708.7,-55.72,-77.09,0.0,5,Optimal,,,0.0
Iberian,40,13625.2,14514.65,5202.5,32781.65,22708.7,-55.72,-77.09,0.0,5,Optimal,,,0.0
Iberian,45,12489.8,14514.65,5202.5,32781.65,22708.7,-55.72,-77.09,0.0,5,Optimal,,,0.0
Iberian,50,11354.4,14514.65,5202.5,32781.65,22708.7,-55.72,-77.09,0.0,5,Optimal,,,0.0
Frankfurt,0,13433.3,15962.9,11286.7,19391.9,13433.3,-17.68,-15.98,0.0,4,Optimal,,,0.0
Frankfurt,5,12761.6,15962.9,11286.7,19391.9,13433.3,-17.68,-15.98,0.0,4,Optimal,,,0.0
Frankfurt,10,12090.0,15962.9,11286.7,19391.9,13433.3,-17.68,-15.98,0.0,4,Optimal,,,0.0
Frankfurt,15,11418.3,15962.9,11286.7,19391.9,13433.3,-17.68,-15.98,0.0,4,Optimal,,,0.0
Frankfurt,20,10746.6,16417.8,10733.4,19391.9,13433.3,-15.34,-20.1,0.0,7,Optimal,0.822157961322969,822.16,0.0
Frankfurt,25,10075.0,19215.95,10048.5,19391.9,13433.3,-0.91,-25.2,0.0,14,Optimal,4.0854869323988945,4085.49,0.0
Frankfurt,30,9403.3,inf,inf,19391.9,13433.3,,,0.0,0,Infeasible,,,0.0
Frankfurt,35,8731.6,inf,inf,19391.9,13433.3,,,0.0,0,Infeasible,,,0.0
Frankfurt,40,8060.0,inf,inf,19391.9,13433.3,,,0.0,0,Infeasible,,,0.0
Frankfurt,45,7388.3,inf,inf,19391.9,13433.3,,,0.0,0,Infeasible,,,0.0
Frankfurt,50,6716.6,inf,inf,19391.9,13433.3,,,0.0,0,Infeasible,,,0.0
